SOURCE,TARGET
67,35733
67,9446
67,29191
67,1
67,693738
67,227
67,183211
104,23
104,147794
104,180064
188,10
188,1
188,17943
188,243897
188,2663
227,10
227,2
345,1678604
345,67
409,67
409,1678604
740,65088
740,66894
740,52142
740,41502
972,202205
2663,831
2663,92012
2663,10
2696,147331
3064,1
3064,23
3064,94675
3064,36762
3064,33420
3313,9446
3313,3064
3555,937918
3555,9446
4063,1
4166,59215
4166,258568
4166,1
4166,2
4166,10
4166,23
4166,83
4166,24967
4367,4382
4420,23
4481,112345
4481,9446
4481,409
4481,1
4649,26979
4649,241634
4649,36762
4649,26398
4649,9446
4649,35821
4649,54136
5973,19668
6225,112345
6225,24967
6225,218525
6225,65776
6225,139189
7074,30906
7074,16496
7074,24967
7074,9446
8204,4166
8204,23728
8204,109248
8204,613760
8389,4166
8389,4299
8389,376463
8389,54136
8389,426416
8737,262198
8791,1347126
9446,4166
9446,1
9446,10
9446,2
9446,237876
9446,46549
9740,8355
9740,4481
9740,1531
9740,61114
10692,11703
10692,3064
10692,3313
10848,1274
10848,153206
11504,25701
11504,44261
13164,9446
13164,13164
13980,9446
13980,4166
14767,972
14767,54020
14767,687670
15171,70474
15171,265008
15171,351784
15171,77539
15171,258568
16327,549944
16327,81488
16734,75278
16734,273404
16734,421070
16734,2471030
16734,384600
16747,54136
16747,24967
16747,78040
16880,551362
16880,51132
16880,108450
16880,349968
17028,48673
17028,26979
17028,9034
17028,17849
17849,2840
17849,3313
17849,3064
17943,646152
17943,1
18981,124982
18981,33420
18981,18703
18981,4426
18981,36762
18981,747772
18981,24153
18981,690026
19580,3313
19580,58600
20159,250093
20908,2945497
20908,395439
20975,46549
20975,1
20975,16496
20975,9446
20975,26398
21559,104126
21629,1850070
21629,1463982
21629,1167326
21673,23
21673,24967
21673,16496
21673,1531
21673,35821
21673,65088
21673,17190
21673,2275
21673,45874
21673,79230
21673,181494
21673,307398
21673,31022
21673,75906
21673,59025
21850,9446
21850,16496
21850,16747
21850,10
22093,9446
22093,39567
22093,26979
22093,53892
22093,128537
22093,24967
22093,16496
22093,33420
22137,33420
22137,222746
22137,105174
22175,155601
23570,9446
23570,26979
23570,53081
23570,146719
23728,4166
23728,258568
23728,9446
23897,4063
24967,1
24967,9446
24967,5449
24967,10
24967,18703
24967,23
24967,22079
24967,35821
24967,2275
24967,17190
24967,59115
24967,65088
24967,54136
24967,124982
24967,35733
24967,139855
24967,87969
24967,41502
24967,2345274
24967,406552
24967,78040
24967,30906
24967,36762
24967,65776
24967,33570
25735,367646
25735,30906
25735,66163
25735,243377
25735,237602
26089,1337
26089,4426
26089,1531
26398,26979
26398,1
26398,16496
26398,22079
27895,1167326
27930,24967
27930,54136
27930,61393
27930,87969
27930,26398
27930,406552
27985,9446
27985,10
27985,22211
28229,266527
28233,5449
28506,24967
28506,64383
28506,241634
28506,158886
28506,17190
28506,560640
28506,43313
28506,489442
29899,128537
29899,20975
30158,249517
30236,406552
30906,24967
30906,49851
30906,49344
30906,22211
32095,20975
32095,9446
32095,16496
32095,26979
32095,35821
32494,155601
32849,26089
33240,35821
33240,35733
33240,52142
33240,24967
33240,72806
33570,34869
33570,24967
33570,301087
33570,146719
33570,30906
33570,9446
34622,24967
34622,65776
34622,241634
34622,16188
34869,24967
34869,46549
34869,9446
34869,54136
35077,107403
35266,26979
35266,959
35266,16496
35266,218525
35266,112345
35488,56282
35488,77320
35488,240280
35488,1128518
35488,780508
35488,258568
35488,518662
35488,654480
36036,155601
36088,61203
36590,12363
36762,9446
36762,91990
36762,5449
36762,1
36762,69959
36762,23
36762,75278
36762,24967
36856,262198
36856,26398
36856,54136
36856,57511
36856,29191
38665,78040
38665,32095
39078,49817
39078,122101
39567,23
39567,9446
39567,24967
39567,54136
39567,35733
39567,35821
39567,16496
39567,78040
39567,65776
40765,19631
40765,24967
40765,16734
41502,54136
41502,91319
41502,24967
41502,46549
41502,26979
41502,2345274
41502,471666
41502,35733
41519,999848
41519,1157256
41519,258568
41519,65776
41519,660472
41519,1
41519,76919
41519,5449
41519,222746
41519,755184
41519,238536
41519,53667
41519,276718
41519,75070
42327,128537
42327,75278
42327,146719
42327,78040
43559,1167326
43559,258568
44261,25701
45006,1197044
45640,12363
45640,24967
45640,2799359
45640,9446
45996,30906
45996,282446
45996,33240
45996,99777
45996,24967
46549,9446
46549,24967
46549,26979
46549,41502
46938,672996
46938,1184594
46938,944314
46938,173521
47194,215342
47194,693738
47194,99340
48411,70474
48446,41517
48446,57511
48643,309607
48643,182721
48643,86106
48643,49344
48643,272140
48673,26979
48673,9034
48673,16496
48673,9446
48898,54136
49282,15091
49282,1773
49282,65088
49282,104378
49282,166383
49282,79230
49282,191261
49344,1
49344,26398
49344,17190
49344,16496
49344,22211
49817,438598
49817,23
49817,1337
49817,1274
49851,35733
49851,9446
49851,4166
52142,36762
52142,46549
52142,24967
52142,1678604
53339,780508
53339,751964
53372,1047248
53372,123163
53372,409701
53372,830042
53892,20975
53892,26398
53892,67660
53892,179805
53892,81067
53892,128537
53892,24967
53892,25701
53892,16496
53892,33420
53892,9446
53892,36762
53892,30906
53892,35821
53892,1773
54136,48898
54136,32143
54136,46549
54136,10
54136,1
54136,35733
54136,87969
54136,41502
54136,24967
54136,9446
54136,39567
54136,88931
54136,18703
54136,4481
54136,34869
54136,33420
54136,2663
54136,22211
55284,93488
55284,201043
55284,107701
55284,54136
55284,30906
55284,66894
55284,227849
55284,99644
55284,2239
55284,153206
55284,321496
55284,16327
55284,160479
55284,241220
55284,35739
55284,93429
55284,81488
55284,157725
55284,155601
55284,172759
55284,274980
55284,336031
55284,881620
55284,1183748
55284,2287388
55284,768282
56020,16747
56020,71764
56020,46549
56020,22202
56020,146719
56441,262198
56503,109542
56503,28506
56503,912356
56503,2439296
56503,1041564
57956,111437
57956,683300
58600,112278
58600,26979
58654,4166
58679,65676
58977,70474
58977,110386
58977,265008
58977,77539
58977,244460
58977,67977
59215,4166
59747,16747
59747,262198
59747,59351
59864,309607
59864,86106
59864,412171
59864,172312
59864,228295
